site_id,geo_tract,add_num,add_str,zipcode,muni,nhood,prop_name,year_blt,company,park_incl,cost_space,park_add,nrs_tserv,hou_type,rnt_studio,rnt_unit1,rnt_unit2,rnt_unit3,rnt_unit_t,cnd_studio,cnd_unit1,cnd_unit2,cnd_unit3,cnd_unit_t,vac_studio,vac_unit1,vac_unit2,vac_unit3,vac_unit_t,sub_studio,sub_unit1,sub_unit2,sub_unit3,sub_unit_t,cost_apt_s,cost_apt_1,cost_apt_2,cost_apt_3,cost_cnd_s,cost_cnd_1,cost_cnd_2,cost_cnd_3,ov_lot_spc,ov_gar_spc,ov_lot_veh,ov_gar_veh,ov_spc,ov_veh,ov_empt,apt_unit_t,apt_occu_t,util_rate,park_dem,park_sup,park_sup_tot,x_coord,y_coord,ct_pop_tot,bg_pop_den,bg_emp_den,bg_act_den,walk_score,b_umn_t30jobs,mbta_rapid,mbta_crail,bldg_agec,bldg_szec,bldg_ten_rnt,bldg_affp,bldg_bed1,bldg_bed2,bldg_bed3,bldg_bed_unit,bldg_bed1p,bldg_bed2p,bldg_bed3p,bldg_cost_unit,bldg_cost_room,park_gl_bal,park_bike,park_bund,park_cost,park_costc,park_cost_unit,park_cost_room
101,25025160300,1-21,Boatswains Way,02150,Chelsea,NA,1-21 Boatswains Way,1987,NA,Yes,NA,Residents may rent spaces from one another,No,Condominiums,0,0,0,0,0,0,0,43,0,43,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,86,0,40,0,86,40,46,43,43,0.47,0.93,2.00,2.00,42.390471,-71.0462919,2476,19.33,3.60,22.93,59,23089,0,0,2,2,0,0.00,0,43,0,2.00,0.00,1.00,0.00,NA,NA,0.00,0,1,0,0,NA,NA
102,25017353200,1,Brookline Place,02139,Cambridge,Central,Auburn Court,2001,Winn Residential,Yes,NA,There is no option for additional parking,No,Apartments,0,27,79,31,137,0,0,0,0,0,0,0,3,0,3,0,3,44,22,69,NA,2250,2750,3000,NA,NA,NA,NA,82,0,60,0,82,60,22,137,134,0.73,0.45,0.61,0.60,42.3624507,-71.1019929,5131,54.78,13.16,67.94,97,474490,1,0,3,3,1,0.50,27,77,30,2.02,0.20,0.57,0.22,2708.03,1334.53,0.00,1,1,0,0,0.00,0.00
103,25017354900,1,Jackson Place,02140,Cambridge,Alewife,Jefferson Park New,1940,Cambridge Housing Authority,No,$0 ,There is no option for additional parking,No,Apartments,0,32,53,19,104,0,0,0,0,0,0,20,25,8,53,0,32,53,19,104,NA,1250,1750,1750,NA,NA,NA,NA,75,0,60,0,75,60,15,104,51,0.80,1.18,1.47,0.72,42.3926988,-71.1353221,7195,94.36,3.53,97.90,81,77969,1,0,1,3,1,1.00,16,26,9,1.86,0.31,0.51,0.18,1596.15,851.28,0.00,0,0,0,0,0.00,0.00
104,25017352101,1,Leighton Street,02141,Cambridge,East Cambridge,Avalon North Point,2008,Avalon Bay Communities,NA,NA,NA,No,Apartments,55,191,162,18,426,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2750,3000,3000,3000,NA,NA,NA,NA,0,424,0,203,424,203,221,529,520,0.48,0.39,0.82,0.80,42.3698228,-71.0731297,1915,29.48,3.23,32.71,80,369424,1,0,3,3,1,0.00,300,198,22,1.47,0.58,0.38,0.04,2967.72,2026.04,424.00,1,NA,0,0,0.00,0.00
105,25025020303,1,Nashua Street,02114,Boston,Downtown,Avalon North Station,2016,Avalon Bay Communities,No,$400 ,NA,No,Apartments,0,0,0,0,503,0,0,0,0,0,0,0,0,0,80,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,0,199,0,161,199,161,38,503,423,0.81,0.38,0.47,0.40,42.365947,-71.063473,3818,14.66,147.66,162.32,96,586964,1,1,3,3,1,0.10,226,172,25,1.52,0.53,0.41,0.06,NA,NA,199.00,0,0,400,1,NA,NA
106,25017355000,1,Whittemore Avenue,02139,Cambridge,North Cambridge,Linea Cambridge,2015,Nordblom Company,Yes,NA,There is no option for additional parking,No,Apartments,0,20,20,17,57,0,0,0,0,0,0,0,0,0,0,0,2,4,2,8,NA,2750,3000,3000,NA,NA,NA,NA,64,0,38,0,64,38,26,57,57,0.59,0.67,1.12,1.12,42.3983825,-71.133804,3157,20.48,19.64,40.12,79,64238,1,0,3,2,1,0.14,20,20,17,1.95,0.35,0.35,0.30,2912.28,1495.50,0.00,0,1,0,0,0.00,0.00
107,25025160501,10,Forsythe Street,02150,Chelsea,NA,10 Forsythe Street,1980,NA,Yes,$0 ,"If a unit request an additional parking space, they must pay for the space separate from the rental price",No,Apartments,0,56,43,9,108,0,0,0,0,0,0,1,4,0,5,0,56,43,9,108,NA,1101,1321,1526,NA,NA,NA,NA,24,47,13,47,71,60,11,108,103,0.85,0.58,0.69,0.66,42.3989822,-71.0306013,5145,77.36,3.10,80.46,83,74559,0,1,2,3,1,1.00,53,41,9,1.57,0.51,0.40,0.09,1224.01,782.21,1.96,0,1,0,0,0.00,0.00
108,25025050300,10,New Street,02128,Boston,East Boston,The Eddy,2016,Greystar,No,$150 ,Parking is not included with rent/purchase price-- residents pay for each space requested,No,Apartments,69,138,52,0,259,0,0,0,0,0,3,2,3,0,8,0,0,0,0,0,2250,2750,3000,NA,NA,NA,NA,NA,0,119,0,88,119,88,31,259,251,0.74,0.35,0.47,0.459459459459459,42.3713134,-71.044066,2288,11.41,9.65,21.06,82,313427,1,0,3,3,1,0.00,201,50,0,1.20,0.80,0.20,0.00,2666.99,2221.06,119.00,1,0,150,1,0.06,0.07
109,25017341300,100-150,Exchange Street,02148,Malden,NA,Exchange Street Apartments,2017,Combined Properties,No,$100 ,Parking is not included with rent/purchase price-- residents pay for each space requested,Yes,Apartments,22,98,90,0,210,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,1750,2250,2750,NA,NA,NA,NA,NA,31,126,4,106,157,110,47,210,206,0.70,0.53,0.76,0.75,42.4258332,-71.070762,5363,4.58,30.18,34.75,94,145706,1,1,3,3,1,0.00,118,88,0,1.43,0.57,0.43,0.00,2411.90,1688.33,4.06,1,0,100,1,0.04,0.06
110,25025160300,94,Captains Row,02150,Chelsea,NA,94 Captains Row,1987,NA,Yes,NA,Residents may rent spaces from one another,No,Condominiums,0,0,0,0,0,0,16,16,0,32,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,65,0,37,0,65,37,28,32,32,0.57,1.16,2.03,2.03,42.3890202,-71.0448443,2476,19.33,3.60,22.93,70,35416,0,0,2,2,0,0.00,16,16,0,1.50,0.50,0.50,0.00,NA,NA,0.00,0,1,0,0,NA,NA
