site_id,site_addr,site_add2,muni,yr_built,hous_type,avg_bdrm,ttl_units,vac_units,sub_units,prk_const,prk_util,prk_excess,utilize_p,demandunit,supplyunit,excessunit,bld_sqf_p,afford_p,far,bld_sqf,prk_price,tran_score,tran_inc_p,blk_acres,tci,jobaccess,infogroup,walkscore,medrent_bg,longitude,latitude
1001,4105 Symmes Ct,,Arlington,2013,Apartment,1.76,164,0,0,363,249,114,0.69,1.52,2.21,0.7,0.02,0.00,,,,7.5,17.7,8.2,13,12232.5,41,69.17,1160.49,-71.161486,42.420072
1002,252 Massachusetts Ave,"252, 258-260 Massachusetts Ave.",Arlington,1910,Apartment,1.28,32,1,32,32,20,12,0.63,0.65,1,0.35,26.29,100.00,0.79,3748.98,,9.3,12.9,2.4,32,64406,148,80.34,1819.01,-71.14483,42.407339
1003,924 Massachusetts Ave,924-932 Massachusetts Ave.,Arlington,1950,Apartment,2,24,2,2,13,12,1,0.92,0.55,0.54,0,31.21,8.33,0.66,8811.09,,8.7,13.8,3.7,21,26865,116,77.5,1646.3,-71.16547,42.417885
1004,30 Mill St,30-50 Mill St,Arlington,2012,Apartment,1.54,116,6,17,124,99,25,0.8,0.9,1.07,0.17,37.57,14.66,0.84,60187.62,,8.9,14.8,6.1,25,17535.5,273,84.57,1474.6,-71.158511,42.418649
1005,438 Massachusetts Ave,,Arlington,2000,Apartment,1.87,132,0,0,150,127,23,0.85,0.96,1.14,0.17,44.25,0.00,1.59,51154.48,,9.2,13,3,28,43276,322,89.03,1506.92,-71.151496,42.413841
1006,204 Massachusetts Ave,,Arlington,1915,Apartment,,23,0,,5,4,1,0.8,0.17,0.22,0.04,70.48,,1.62,17177.06,,9.3,12.9,2.4,32,57832,155,81.86,1819.01,-71.143149,42.405913
1007,100 Heard Street,,Chelsea,,Apartment,1.27,230,1,0,243,197,46,0.81,0.86,1.06,0.2,,0.00,,,100,9.3,13,3.4,29,163459,138,80.13,948.39,-71.036684,42.398055
1008,1 Botswain Way,"1-21 (odd) Boatswains Way, 6-36 (even) Breakwater Drive, 2-32 (even) Breakwater Drive",Chelsea,1987,Condominium,2,43,0,0,86,40,46,0.47,0.93,2,1.07,12.64,0.00,0.34,8447.54,0,8.7,12.3,5.9,20,85948,66,50.16,1388.75,-71.030934,42.39621
1009,160 Commandants Way,160 Commandants Way & 25-67 Breakwater Drive,Chelsea,1987,Condominium,1.84,62,0,0,92,71,21,0.77,1.15,1.48,0.34,12.69,0.00,0.37,31013.97,0,8.7,12.3,5.9,20,53556.33,46,35.16,1388.75,-71.050775,42.388856
1010,200 Captains Row ,,Chelsea,1987,Condominium,1.79,48,0,0,66,43,23,0.65,0.9,1.38,0.48,13,0.00,0.42,15218.77,0,8.7,12.3,5.9,20,41799,102,64.48,1388.75,-71.047096,42.39084
